"","x"
"Alabama",2
"Alaska",3
"Arizona",2.4
"Arkansas",1.8
"California",2.2
"Colorado",2.7
"Connecticut",2.4
"Delaware",3.1
"Florida",2.5
"Georgia",2
"Hawaii",2.5
"Idaho",2.7
"Illinois",2.3
"Indiana",2
"Iowa",2.3
"Kansas",2
"Kentucky",1.8
"Louisiana",2.5
"Maine",2.5
"Montana",2.9
"Nebraska",2.3
"Nevada",3.3
"New Hampshire",4.4
"New Jersey",2.4
"New Mexico",2.3
"New York",2.1
"North Carolina",2
"North Dakota",2.9
"Ohio",2
"Oklahoma",1.9
"Oregon",2.5
"Maryland",2.2
"Massachusetts",2.5
"Michigan",2.2
"Minnesota",2.4
"Mississippi",2.2
"Missouri",2.4
"Pennsylvania",2.2
"Rhode Island",2.6
"South Carolina",2.3
"South Dakota",2.7
"Tennessee",1.9
"Texas",2.2
"Utah",1.4
"Vermont",2.7
"Virginia",2.1
"Washington",2.2
"West Virginia",1.8
"Wisconsin",2.8
"Wyoming",2.6
