Alabama,31.3333333333333
Alaska,22.3
Arizona,23.4916666666667
Arkansas,33.28
California,21.195867768595
Colorado,18.7642857142857
Connecticut,29.025
Delaware,34.1
Florida,27.7090909090909
Georgia,28.6636363636364
Hawaii,23
Idaho,20.7333333333333
Illinois,27.0722222222222
Indiana,29.2363636363636
Iowa,27.65
Kansas,26.0833333333333
Kentucky,29.55
Louisiana,33.3
Maine,20.7
Maryland,30.9
Massachusetts,30.7846153846154
Michigan,25.4625
Minnesota,21.0857142857143
Mississippi,38.75
Missouri,27.2125
Montana,21.95
Nebraska,24.4
Nevada,25.2
New Hampshire,26.2
New Jersey,38.1777777777778
New Mexico,20.725
New York,32.5444444444445
North Carolina,25.5642857142857
North Dakota,23.6
Ohio,32.6888888888889
Oklahoma,30.85
Oregon,18.0125
Pennsylvania,32.9571428571429
Rhode Island,30.425
South Carolina,24.36
South Dakota,21.05
Tennessee,30.4666666666667
Texas,30.2404255319149
Utah,22.8333333333333
Vermont,19.7
Virginia,27.3727272727273
Washington,20.0785714285714
West Virginia,30.2
Wisconsin,24.1571428571429
Wyoming,26.5
